Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
13,0.3279460668563843,0.3107235740380975,0.31933482044724093,85,5,udacity,kmnc,150,dave2v1,0.175,
26,0.36918550729751587,0.2779468043252262,0.32356615581137105,115,14,udacity,kmnc,200,dave2v1,0.175,
10,0.30799734592437744,0.25046192416120266,0.2792296350427901,34,5,udacity,nac,50,dave2v1,0.175,
11,0.44945839047431946,0.312801820913822,0.38113010569407074,61,4,udacity,nac,100,dave2v1,0.175,
17,0.42262789607048035,0.25039538062852984,0.3365116383495051,95,7,udacity,nac,150,dave2v1,0.175,
18,0.5014824271202087,0.38000889874493854,0.44074566293257367,125,7,udacity,nac,200,dave2v1,0.175,
7,0.37400734424591064,0.2945148566880492,0.33426110046697993,25,2,udacity,lsa,50,dave2v1,0.175,
12,0.3546516001224518,0.2987437776441367,0.3266976888832942,60,8,udacity,lsa,100,dave2v1,0.175,
15,0.4894636869430542,0.3441449898149102,0.41680433837898223,96,5,udacity,lsa,150,dave2v1,0.175,
19,0.4331750273704529,0.31406546106325534,0.37362024421685414,127,9,udacity,lsa,200,dave2v1,0.175,
3,0.16566628217697144,0.09914233344804846,0.13240430781250995,11,3,udacity,std,50,dave2v1,0.175,
7,0.27136319875717163,0.3268642172224482,0.2991137079898099,39,5,udacity,std,100,dave2v1,0.175,
10,0.3177861273288727,0.21963445194498465,0.26871028963692867,40,8,udacity,std,150,dave2v1,0.175,
11,0.2608550786972046,0.09484644298347647,0.17785076084034052,62,0,udacity,std,200,dave2v1,0.175,
5,0.2302616834640503,0.10147850136434408,0.1658700924141972,14,2,udacity,pace,50,dave2v1,0.175,
4,-0.06893781572580338,,,35,1,udacity,pace,100,dave2v1,0.175,
15,0.2518807053565979,0.1615742908071168,0.20672749808185736,49,8,udacity,pace,150,dave2v1,0.175,
14,0.3073687255382538,0.1693414620809068,0.2383550938095803,61,6,udacity,pace,200,dave2v1,0.175,
1,0.18052798509597778,0.02897154246646566,0.10474976378122172,4,2,udacity,dr,50,dave2v1,0.218,
5,0.20197714865207672,,,12,1,udacity,dr,100,dave2v1,0.218,
3,0.22730368375778198,0.12275381389915485,0.17502874882846842,15,7,udacity,dr,150,dave2v1,0.218,
7,0.30060118436813354,0.13194924101675404,0.2162752126924438,26,4,udacity,dr,200,dave2v1,0.218,
4,0.16769053041934967,0.2404705402417603,0.20408053533055498,18,3,udacity,ces,50,dave2v1,0.218,
7,0.21213248372077942,0.16255106338676925,0.18734177355377435,34,8,udacity,ces,100,dave2v1,0.218,
9,0.29285743832588196,0.256364337951373,0.27461088813862744,58,2,udacity,ces,150,dave2v1,0.218,
19,0.30408966541290283,0.17578290742361757,0.2399362864182602,75,19,udacity,ces,200,dave2v1,0.218,
5,0.2386702597141266,,,13,1,udacity,est,50,dave2v1,0.218,
8,0.27972573041915894,0.14911145664192121,0.21441859353054007,43,6,udacity,est,100,dave2v1,0.218,
15,0.2767927050590515,0.17886633929945708,0.22782952217925428,57,6,udacity,est,150,dave2v1,0.218,
15,0.3619057834148407,0.30082455225230054,0.3313651678335706,58,4,udacity,est,200,dave2v1,0.218,
2,0.12631413340568542,,,9,1,udacity,rnd,50,dave2v1,0.218,
7,0.2521118223667145,0.07713284060434106,0.16462233148552777,22,0,udacity,rnd,100,dave2v1,0.218,
9,0.24920865893363953,0.054054581196194086,0.15163162006491682,36,2,udacity,rnd,150,dave2v1,0.218,
12,0.36940646171569824,0.2220681637542017,0.29573731273494996,42,3,udacity,rnd,200,dave2v1,0.218,
